epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,70.6485,0.77449,0.92339,0.9879,0.20291,0.000298113,0.000298113,0.000298113
2,135.101,0.19716,0.92742,0.99194,0.21434,0.000589211,0.000589211,0.000589211
3,200.274,0.15726,0.93548,0.9879,0.22607,0.00086831,0.00086831,0.00086831
4,263.349,0.16021,0.92742,0.9879,0.19253,0.000855005,0.000855005,0.000855005
5,325.999,0.16986,0.93548,0.9879,0.2313,0.000837007,0.000837007,0.000837007
6,389.428,0.14791,0.94355,0.9879,0.24135,0.000819009,0.000819009,0.000819009
7,453.971,0.14392,0.93952,0.9879,0.24155,0.000801011,0.000801011,0.000801011
8,516.976,0.11582,0.95968,0.9879,0.24561,0.000783013,0.000783013,0.000783013
9,581.84,0.10896,0.94758,0.9879,0.22729,0.000765014,0.000765014,0.000765014
10,645.121,0.10392,0.95161,0.99597,0.20044,0.000747016,0.000747016,0.000747016
11,708.206,0.09381,0.93952,0.99194,0.22652,0.000729018,0.000729018,0.000729018
12,771.304,0.09007,0.95968,0.9879,0.1722,0.00071102,0.00071102,0.00071102
13,833.989,0.08107,0.94758,0.99194,0.18618,0.000693022,0.000693022,0.000693022
14,895.126,0.08747,0.95968,0.99597,0.26442,0.000675023,0.000675023,0.000675023
15,954.65,0.07087,0.95161,0.99194,0.19614,0.000657025,0.000657025,0.000657025
16,1013.4,0.05666,0.95161,0.99194,0.22323,0.000639027,0.000639027,0.000639027
17,1071.65,0.05378,0.94758,0.99597,0.31383,0.000621029,0.000621029,0.000621029
18,1130.08,0.05959,0.96371,0.99194,0.1661,0.000603031,0.000603031,0.000603031
19,1285.07,0.06853,0.95968,0.99194,0.18769,0.000585032,0.000585032,0.000585032
20,1342.46,0.05086,0.94758,0.99194,0.32413,0.000567034,0.000567034,0.000567034
21,1400.26,0.06231,0.96371,0.99597,0.21976,0.000549036,0.000549036,0.000549036
22,1456.74,0.04881,0.95161,0.99194,0.22496,0.000531038,0.000531038,0.000531038
23,1513.4,0.04023,0.96371,1,0.24244,0.00051304,0.00051304,0.00051304
24,1571.24,0.03676,0.95565,1,0.23973,0.000495041,0.000495041,0.000495041
25,1629.08,0.03512,0.95161,0.99597,0.30674,0.000477043,0.000477043,0.000477043
26,1686.74,0.05207,0.95565,0.99597,0.28707,0.000459045,0.000459045,0.000459045
27,1745.05,0.03884,0.95968,0.99597,0.27817,0.000441047,0.000441047,0.000441047
28,1803.23,0.02775,0.96371,0.99597,0.23155,0.000423049,0.000423049,0.000423049
29,1860.43,0.0205,0.96371,0.99597,0.26649,0.00040505,0.00040505,0.00040505
30,1917.25,0.01818,0.95968,0.99194,0.30298,0.000387052,0.000387052,0.000387052
31,2038.38,0.02589,0.96371,0.99597,0.23428,0.000369054,0.000369054,0.000369054
32,2097.07,0.03044,0.97177,0.99597,0.20861,0.000351056,0.000351056,0.000351056
33,2155.96,0.02523,0.94355,0.99597,0.27765,0.000333058,0.000333058,0.000333058
34,2213.59,0.01397,0.95565,0.99597,0.28832,0.000315059,0.000315059,0.000315059
35,2270.46,0.02244,0.95565,0.99597,0.26215,0.000297061,0.000297061,0.000297061
36,2327.17,0.0185,0.96774,0.99597,0.25934,0.000279063,0.000279063,0.000279063
37,2383.67,0.00866,0.96371,0.99597,0.31823,0.000261065,0.000261065,0.000261065
38,2440.31,0.01833,0.95565,0.99597,0.31622,0.000243067,0.000243067,0.000243067
39,2512.56,0.01859,0.95968,0.99597,0.29435,0.000225068,0.000225068,0.000225068
40,2570.07,0.01621,0.94758,0.99597,0.25204,0.00020707,0.00020707,0.00020707
41,2628.03,0.01136,0.94758,0.99597,0.24357,0.000189072,0.000189072,0.000189072
42,2686.09,0.01079,0.96371,0.99597,0.25717,0.000171074,0.000171074,0.000171074
